date,trial_num,is_stim,reach_time,reach_direction,rest_end,planning_end,reach_end
2021-09-22,154,0,464,left,500,903,1367
2021-09-22,155,0,183,down,500,950,1133
2021-09-22,156,1,482,up,500,801,1283
2021-09-22,157,1,388,right,500,761,1149
2021-09-22,159,1,142,left,500,940,1082
2021-09-22,160,0,320,up,500,847,1167
2021-09-22,161,0,291,left,500,792,1083
2021-09-22,162,1,266,down,500,867,1133
2021-09-22,163,1,220,right,500,930,1150
2021-09-22,164,0,376,down,500,807,1183
2021-09-22,165,0,501,right,500,766,1267
2021-09-22,166,1,363,left,500,755,1118
2021-09-22,167,0,454,up,500,831,1285
2021-09-22,168,0,370,right,500,814,1184
2021-09-22,169,1,426,left,500,759,1185
2021-09-22,170,0,533,down,500,769,1302
2021-09-22,171,0,312,right,500,872,1184
2021-09-22,172,1,355,left,500,812,1167
2021-09-22,173,1,357,up,500,910,1267
2021-09-22,174,1,371,down,500,913,1284
2021-09-22,175,0,311,down,500,890,1201
2021-09-22,176,1,348,right,500,835,1183
2021-09-22,177,1,555,up,500,780,1335
2021-09-22,178,1,281,right,500,936,1217
2021-09-22,179,1,523,up,500,760,1283
2021-09-22,180,1,421,down,500,796,1217
2021-09-22,181,0,428,up,500,905,1333
2021-09-22,182,1,178,right,500,890,1068
2021-09-22,183,1,196,down,500,986,1182
2021-09-22,184,1,933,left,500,835,1768
2021-09-22,185,0,338,right,500,830,1168
2021-09-22,186,0,256,right,500,794,1050
2021-09-22,187,0,450,up,500,915,1365
2021-09-22,188,0,362,right,500,787,1149
2021-09-22,189,0,420,down,500,765,1185
2021-09-22,190,0,201,up,500,933,1134
2021-09-22,191,1,304,right,500,863,1167
2021-09-22,192,0,285,left,500,914,1199
2021-09-22,193,1,303,up,500,815,1118
2021-09-22,194,0,241,right,500,844,1085
2021-09-22,195,0,291,down,500,859,1150
2021-09-22,196,1,331,up,500,819,1150
2021-09-22,197,0,387,up,500,763,1150
2021-09-22,199,0,159,up,500,909,1068
2021-09-22,200,0,390,up,500,794,1184
2021-09-22,201,0,285,left,500,815,1100
2021-09-22,204,0,317,down,500,832,1149
2021-09-22,205,0,305,right,500,779,1084
2021-09-22,206,0,356,up,500,911,1267
2021-09-22,207,0,223,left,500,912,1135
2021-09-22,208,1,241,up,500,927,1168
2021-09-22,209,1,392,down,500,824,1216
2021-09-22,210,0,320,down,500,849,1169
2021-09-22,211,1,342,left,500,842,1184
2021-09-22,212,0,397,left,500,854,1251
2021-09-22,213,1,439,left,500,813,1252
2021-09-22,215,1,248,right,500,934,1182
2021-09-22,216,0,324,down,500,862,1186
2021-09-22,217,0,355,right,500,796,1151
2021-09-22,220,0,286,right,500,932,1218
2021-09-22,221,0,399,left,500,885,1284
2021-09-22,222,0,507,up,500,794,1301
2021-09-22,223,0,305,down,500,963,1268
2021-09-22,224,0,348,right,500,885,1233
2021-09-22,225,0,196,right,500,821,1017
2021-09-22,226,1,276,down,500,924,1200
2021-09-22,227,0,151,left,500,965,1116
2021-09-22,228,1,262,right,500,956,1218
2021-09-22,230,1,351,down,500,833,1184
2021-09-22,231,0,252,down,500,898,1150
2021-09-22,232,0,509,up,500,858,1367
2021-09-22,233,1,187,left,500,947,1134
2021-09-22,234,0,335,up,500,1000,1335
2021-09-22,235,0,286,up,500,831,1117
2021-09-22,236,1,549,up,500,751,1300
2021-09-22,237,1,318,down,500,832,1150
2021-09-22,239,1,271,left,500,897,1168
2021-09-22,240,0,239,left,500,809,1048
2021-09-22,241,0,195,right,500,989,1184
2021-09-22,242,1,255,up,500,946,1201
2021-09-22,243,1,361,right,500,757,1118
2021-09-22,244,1,174,down,500,976,1150
2021-09-22,245,0,610,up,500,807,1417
2021-09-22,246,1,398,up,500,921,1319
2021-09-22,247,1,211,left,500,990,1201
2021-09-22,248,0,221,right,500,929,1150
2021-09-22,249,1,288,left,500,813,1101
2021-09-22,250,1,328,left,500,903,1231
2021-09-22,251,1,277,down,500,891,1168
2021-09-22,252,0,126,down,500,991,1117
2021-09-22,253,0,260,left,500,974,1234
2021-09-22,254,0,545,up,500,773,1318
2021-09-22,255,0,226,right,500,925,1151
2021-09-22,256,0,359,right,500,926,1285
2021-09-22,257,0,246,down,500,939,1185
2021-09-22,258,1,312,down,500,871,1183
2021-09-22,259,1,361,up,500,957,1318
2021-09-22,260,0,734,up,500,782,1516
2021-09-22,261,0,361,up,500,973,1334
2021-09-22,262,0,308,down,500,941,1249
2021-09-22,263,1,406,left,500,795,1201
2021-09-22,264,0,422,down,500,777,1199
2021-09-22,265,1,413,down,500,853,1266
2021-09-22,266,0,284,left,500,965,1249
2021-09-22,267,1,115,right,500,968,1083
2021-09-22,268,0,272,left,500,964,1236
2021-09-22,269,0,226,down,500,959,1185
2021-09-22,270,1,301,right,500,814,1115
2021-09-22,271,1,459,down,500,826,1285
2021-09-22,272,0,220,right,500,845,1065
2021-09-22,273,1,426,right,500,824,1250
2021-09-22,274,0,339,right,500,763,1102
2021-09-22,275,1,439,left,500,796,1235
2021-09-22,276,0,237,down,500,914,1151
2021-09-22,277,1,440,left,500,810,1250
2021-09-22,278,0,146,left,500,938,1084
2021-09-22,279,0,246,up,500,887,1133
2021-09-22,280,1,276,left,500,876,1152
2021-09-22,281,0,72,left,500,995,1067
2021-09-22,282,1,258,up,500,909,1167
2021-09-22,283,1,236,left,500,918,1154
2021-09-22,284,1,229,up,500,989,1218
2021-09-22,285,0,392,left,500,775,1167
2021-09-22,286,0,331,left,500,786,1117
2021-09-22,287,1,421,right,500,779,1200
2021-09-22,288,1,651,up,500,831,1482
2021-09-22,289,1,248,down,500,918,1166
2021-09-22,290,0,346,left,500,756,1102
2021-09-22,291,1,201,down,500,983,1184
2021-09-22,292,0,336,right,500,948,1284
2021-09-22,293,1,224,right,500,925,1149
2021-09-22,294,0,186,left,500,880,1066
2021-09-22,295,0,453,down,500,914,1367
2021-09-22,296,1,436,left,500,847,1283
2021-09-22,297,0,359,down,500,776,1135
2021-09-22,298,1,181,left,500,986,1167
2021-09-22,299,1,202,right,500,965,1167
2021-09-22,300,1,295,right,500,889,1184
2021-09-22,303,1,264,left,500,890,1154
2021-09-22,304,1,316,down,500,801,1117
2021-09-22,305,1,153,left,500,931,1084
2021-09-22,306,0,73,left,500,945,1018
2021-09-22,307,0,362,right,500,956,1318
2021-09-22,308,1,429,up,500,938,1367
2021-09-22,309,0,303,down,500,883,1186
2021-09-22,310,1,376,left,500,792,1168
2021-09-22,311,1,393,right,500,824,1217
2021-09-22,312,0,342,up,500,858,1200
2021-09-22,313,1,184,left,500,983,1167
2021-09-22,314,1,238,down,500,929,1167
2021-09-22,315,0,312,down,500,821,1133
